id;libelle;type;unite;millesime;dateEffet;dateFin;statutValidation;valeur;borneInf;borneInfIncluse;borneSup;borneSupIncluse;taux;utilisePar;varianteCle;arbitrageDocument;arbitragePoint;arbitrageQuestion;sourceReference;sourceUrl;sourceDateConsultation;validationPar;validationDate;notes
dmtg.abattement.enfant;Abattement — enfant;montant;EUR;2025;;;non-valide;100000;;;;;;succession,demembrement;;;;;CGI art. 779;;2026-08-26;;;Le simulateur de démembrement pré-remplit cette valeur dans un champ modifiable.
dmtg.abattement.ascendant;Abattement — père ou mère;montant;EUR;2025;;;non-valide;100000;;;;;;succession;;;;;CGI art. 779;;2026-08-26;;;
dmtg.abattement.petit-enfant;Abattement — petit-enfant;montant;EUR;2025;;;non-valide;1594;;;;;;succession;;;;;CGI art. 779;;2026-08-26;;;
dmtg.abattement.arriere-petit-enfant;Abattement — arrière-petit-enfant;montant;EUR;2025;;;non-valide;1594;;;;;;succession;;;;;CGI art. 779;;2026-08-26;;;
dmtg.abattement.frere-soeur;Abattement — frère ou sœur;montant;EUR;2025;;;non-valide;15932;;;;;;succession,demembrement;;;;;CGI art. 779;;2026-08-26;;;
dmtg.abattement.neveu-niece;Abattement — neveu ou nièce;montant;EUR;2025;;;non-valide;7967;;;;;;succession,demembrement;;;;;CGI art. 779;;2026-08-26;;;
dmtg.abattement.handicape;Abattement — personne handicapée;montant;EUR;2025;;;non-valide;159325;;;;;;succession;;;;;CGI art. 779, II;;2026-08-26;;;
dmtg.abattement.autre;Abattement — non-parent;montant;EUR;2025;;;non-valide;1594;;;;;;succession,demembrement;;;;;CGI art. 779;;2026-08-26;;;
dmtg.conjoint.exonere;Exonération du conjoint survivant et du partenaire de PACS;booleen;sans-unite;2025;;;non-valide;oui;;;;;;succession;;;;;;;;;;Le code représentait cette exonération par un abattement infini. Un booléen l'exprime sans recourir à une valeur qui n'existe pas en JSON.
dmtg.assurance-vie.avant-70.abattement;Assurance-vie, primes versées avant 70 ans — abattement par bénéficiaire;montant;EUR;2025;;;non-valide;152500;;;;;;succession;;;;;;;;;;Aucune source ne figure dans le code.
dmtg.assurance-vie.avant-70.bareme;Assurance-vie, primes versées avant 70 ans — prélèvement;bareme;decimal;2025;;;non-valide;;0;non;700000;oui;0,2;succession;;;;;;;;;;Aucune source ne figure dans le code.
dmtg.assurance-vie.avant-70.bareme;Assurance-vie, primes versées avant 70 ans — prélèvement;bareme;decimal;2025;;;non-valide;;700000;non;;;0,3125;succession;;;;;;;;;;
dmtg.assurance-vie.apres-70.abattement;Assurance-vie, primes versées après 70 ans — abattement global;montant;EUR;2025;;;non-valide;30500;;;;;;succession;;;;;;;;;;Abattement global tous bénéficiaires confondus. Aucune source ne figure dans le code.
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;0;oui;20;oui;0,1;demembrement;;;;;CGI art. 669;;2026-08-26;;;Les bornes sont des âges en années révolues, non des euros. Le code retient la tranche dès que l’âge est inférieur ou égal à la borne haute : un âge négatif relève donc de la première tranche et un âge de 200 ans de la dernière, sans avertissement. Point soumis au référent fiscal, fiche 3.2.
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;20;non;30;oui;0,2;demembrement;;;;;CGI art. 669;;2026-08-26;;;
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;30;non;40;oui;0,3;demembrement;;;;;CGI art. 669;;2026-08-26;;;
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;40;non;50;oui;0,4;demembrement;;;;;CGI art. 669;;2026-08-26;;;
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;50;non;60;oui;0,5;demembrement;;;;;CGI art. 669;;2026-08-26;;;
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;60;non;70;oui;0,6;demembrement;;;;;CGI art. 669;;2026-08-26;;;
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;70;non;80;oui;0,7;demembrement;;;;;CGI art. 669;;2026-08-26;;;
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;80;non;90;oui;0,8;demembrement;;;;;CGI art. 669;;2026-08-26;;;
dmtg.usufruit.taux-nue-propriete;Barème de l’usufruit — taux de la nue-propriété selon l’âge de l’usufruitier;bareme;decimal;2025;;;non-valide;;90;non;;;0,9;demembrement;;;;;CGI art. 669;;2026-08-26;;;
